Unnamed: 0,qid,timestamp,ramsey_estimate,overrot,axis,T1,T2
,Q1,1731771165.8460126,0.0139303980726879,0.0099069589099101,0.0468767538788292,0.000127,0.00011
,Q2,1731771329.2390876,0.0215973567642286,0.0083467860234107,0.058826325294731,0.0001,2.2e-05
,Q0,1731772802.3365166,0.0033141212398,-0.0004079814538391,0.0164019644781567,0.0001,7.8e-05
,Q1,1731772966.1587272,0.0146460050390935,0.0101131380331092,0.0462656687302722,6.9e-05,5.8e-05
,Q2,1731773129.4910626,0.0208618100020956,0.0147635588093795,0.0582564068260173,0.0001,3.4e-05
,Q0,1731774602.6320407,-0.0033750194980459,-0.000112135332202,0.0153793954490088,7.1e-05,8.7e-05
,Q1,1731774766.496288,0.0145736375797245,0.0099168845156634,0.0466209760844327,8.4e-05,4.8e-05
,Q2,1731774929.8283412,0.0217114468027812,0.0150141737023956,0.0592920225355324,0.00013,2.7e-05
,Q0,1731776402.9775538,0.0025854804727671,0.2943847701806485,0.0105271893936833,7.1e-05,9.1e-05
,Q1,1731776566.798243,0.0139184546688433,0.0102721781030235,0.0465166469666313,0.00011,4.2e-05
,Q2,1731776730.1519692,0.021792490962337,0.0147374866279434,0.0587382932855171,9.1e-05,4.4e-05
,Q0,1731778202.249444,0.0025372815865196,0.3016475156191478,0.0091412523073132,0.00013,0.00011
,Q1,1731778366.0614846,0.0140425541830246,0.0103832041959537,0.0457559584179179,0.00011,6.1e-05
,Q2,1731778529.6312633,0.0203277832609671,-0.0045170163412409,0.0614465344000308,0.0001,2.2e-05
,Q0,1731780002.7776818,-0.0037032193110744,0.0004314999876888,0.0142964818611385,0.000106,0.0001
,Q1,1731780209.4985647,0.014916403341477,0.010994061696943,0.0466528835737519,0.0001,6.6e-05
,Q2,1731780511.9019446,0.0209890162761574,0.0156495030705932,0.0583413428090347,0.00012,1.5e-05
,Q0,1731781802.0872817,0.0023781302213787,-1.642317336897961,0.5696517785779248,0.00011,0.0001
,Q1,1731782053.6837587,0.0147395807254078,0.0107803371971268,0.0470926780782839,0.0001,9.5e-05
,Q2,1731782261.1346316,0.0210692651580366,0.0155526100433398,0.0582472219907577,0.00011,3.6e-05
,Q0,1731792602.6987548,0.0022996108285937,0.2748730428969606,0.0118774091088999,9.68e-05,5e-05
,Q1,1731793162.2918444,0.01385466930736,0.0111653824640405,0.0457425055746959,8.2e-05,7.4e-05
,Q2,1731793451.191432,0.0265050975338532,0.0135754637354124,0.0627315670562331,8.7e-05,1.2e-05
,Q0,1731794402.030918,0.0021725379054799987,0.0010451608177992622,0.011995484917688292,0.000111,0.00011
,Q1,1731794565.7712672,0.01412831987713048,0.011110591038331785,0.045647331226774224,7.5e-05,2.7e-05
,Q2,1731794729.0648496,0.1079517583172045,0.028981474072284907,0.06701985221027233,9.8e-05,4e-05
